degree_name,degree_category,stem
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other","Agricultural/Animal/Plant/Veterinary Science
",Yes
"Animal Sciences, Other","Agricultural/Animal/Plant/Veterinary Science
",Yes
Food Science,"Agricultural/Animal/Plant/Veterinary Science
",Yes
"City/Urban, Community, and Regional Planning","Architecture and Related Services
",No
"Ethnic, Cultural Minority, Gender, and Group Studies, Other","Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Biology/Biological Sciences, General","Biological and Biomedical Sciences
",Yes
Accounting,"Business
",No
"Business Administration and Management, General","Business
",No
Entrepreneurship/Entrepreneurial Studies,"Business
",No
"Finance, General","Business
",No
"Logistics, Materials, and Supply Chain Management","Business
",No
"Marketing/Marketing Management, General","Business
",No
"Communication and Media Studies, Other","Communications and Journalism
",Yes
Radio and Television Broadcasting Technology/Technician,"Communications and Journalism
",No
"Computer and Information Sciences, General","Computer and Information Sciences
",Yes
Art Teacher Education,Education,No
Early Childhood Education and Teaching,Education,No
"Education, General",Education,No
Education/Teaching of Individuals with Speech or Language Impairments,Education,No
"Educational Leadership and Administration, General",Education,No
Elementary Education and Teaching,Education,No
Physical Education Teaching and Coaching,Education,No
Reading Teacher Education,Education,No
Secondary Education and Teaching,Education,No
"Special Education and Teaching, General",Education,No
"Civil Engineering, General",Engineering,Yes
Electrical and Electronics Engineering,Engineering,Yes
"Engineering, Other",Engineering,Yes
Mechanical Engineering,Engineering,Yes
Construction Engineering Technology/Technician,Engineering,Yes
"English Language and Literature, General","English Language and Literature
",No
"Family and Consumer Sciences/Human Sciences, General","Family and Human Sciences
",No
Speech-Language Pathology/Pathologist,"English Language and Literature
",No
Criminal Justice/Law Enforcement Administration,"Law Enforcement, Firefighting and Related
",No
General Studies,"Liberal Arts and Humanities
",No
"Mathematics, General","Mathematics and Statistics
",Yes
"Forestry, Other","Natural Resources and Conservation
",Yes
Exercise Science and Kinesiology,"Health and Kinesiology
",No
Sport and Fitness Administration/Management,"Health and Kinesiology
",No
"Chemistry, General","Biological and Biomedical Sciences
",Yes
"Physics, General","Physical Sciences
",Yes
"Physics, Other","Physical Sciences
",Yes
Counseling Psychology,"Psychology
",No
"Psychology, General","Psychology
",Yes
Social Work,"Public Administration and Social Service
",No
"Political Science and Government, General","Public Administration and Social Service
",No
"Sociology, General","Social Sciences
",No
"Art/Art Studies, General","Visual and Performing Arts
",No
"Music, General","Visual and Performing Arts
",No
"Business/Corporate Communications, General","Business
",No
"Human Resources Management/Personnel Administration, General","Business
",No
Information Resources Management,"Business
",Yes
"Management Information Systems and Services, Other","Business
",Yes
"Management Information Systems, General","Business
",Yes
Organizational Leadership,"Business
",No
Family and Community Services,"Family and Human Sciences
",No
"Human Development and Family Studies, General","Family and Human Sciences
",No
Marriage and Family Therapy/Counseling,"Family and Human Sciences
",No
Criminal Justice/Safety Studies,"Law Enforcement, Firefighting and Related
",No
Liberal Arts and Sciences/Liberal Studies,"Liberal Arts and Humanities
",No
Christian Studies,"Philosophy and Religious Studies
",No
Bible/Biblical Studies,"Philosophy and Religious Studies
",No
Divinity/Ministry,"Philosophy and Religious Studies
",No
