state_name,stem_yes,stem_no,school_enrollment,stem_perc
AK,1166.0,3485.0,22106.0,0.250698774457106
AL,17418.0,52140.0,272168.0,0.25040973000948846
AR,9401.0,38743.0,147822.0,0.1952683615819209
AZ,27992.0,116649.0,514773.0,0.19352742306814805
CA,168287.0,450847.0,2373266.0,0.27181030277775087
CO,23651.0,62466.0,347085.0,0.2746379924985775
CT,12025.0,33722.0,180450.0,0.26285876669508385
DC,6037.0,22472.0,95687.0,0.21175769055386018
DE,3040.0,9681.0,58678.0,0.23897492335508214
FL,57805.0,239304.0,998304.0,0.1945582261055707
GA,40042.0,107142.0,545146.0,0.27205402761169695
HI,2826.0,10540.0,59639.0,0.2114319916205297
IA,13263.0,38208.0,206409.0,0.2576790814244915
ID,5807.0,19724.0,123218.0,0.2274489835885786
IL,45164.0,143820.0,659341.0,0.23898319434449478
IN,27086.0,88388.0,409383.0,0.23456362471205638
KS,9884.0,37379.0,172441.0,0.20912764741975753
KY,23259.0,61981.0,261196.0,0.2728648521820741
LA,13947.0,43181.0,240731.0,0.24413597535359194
MA,42423.0,89530.0,469340.0,0.3215008374193842
MD,26928.0,57625.0,358468.0,0.318474802786418
ME,3763.0,10132.0,69720.0,0.27081684059014033
MI,34173.0,88249.0,489099.0,0.27914100406789627
MN,17655.0,55847.0,303587.0,0.24019754564501647
MO,20119.0,69987.0,335556.0,0.2232814684926642
MS,9828.0,33864.0,160508.0,0.22493820379016755
MT,3317.0,7725.0,45461.0,0.30039847853649704
NAN,381.0,2498.0,4749.0,0.13233761722820422
NC,38441.0,113176.0,555993.0,0.253540170297526
ND,3345.0,9379.0,51308.0,0.2628890286073562
NE,6883.0,22486.0,135026.0,0.23436276345806803
NH,8521.0,26579.0,187208.0,0.24276353276353277
NJ,24412.0,69426.0,397894.0,0.260150472090198
NM,6137.0,25351.0,109178.0,0.19489964430894308
NV,6305.0,18996.0,116615.0,0.24919963637800877
NY,87075.0,248469.0,1288223.0,0.25950396967312783
OH,39589.0,114343.0,640971.0,0.25718499077514745
OK,11321.0,32494.0,187567.0,0.25838183270569437
OR,13891.0,39556.0,204767.0,0.2599023331524688
PA,53725.0,143073.0,730420.0,0.27299566052500535
RI,5486.0,14173.0,74413.0,0.27905793784017496
SC,13387.0,41442.0,234049.0,0.24415911287822137
SD,3281.0,8172.0,48776.0,0.286475159346896
TN,15986.0,56702.0,304122.0,0.21992626018049746
TX,88098.0,269508.0,1586573.0,0.2463549269307562
UT,12727.0,42820.0,244846.0,0.22912128467784038
VA,33012.0,97306.0,539049.0,0.2533188047698706
VT,3614.0,6532.0,38514.0,0.3561994874827518
WA,24801.0,63988.0,310587.0,0.27932514162790434
WI,22519.0,65510.0,315818.0,0.25581342512126687
WV,5810.0,16767.0,92993.0,0.2573415422775391
WY,1789.0,4846.0,30943.0,0.2696307460437076
